           0.07304       4.000000            800.0000         0.80        -2.00
           0.07304       2.000000            800.0000         0.80        -1.00
           0.05908       1.000000            800.0000         0.80        -0.00
           0.04404       0.500000            800.0000         0.80         1.00
           0.06337       0.250000           1083.0000         0.80         2.00
           0.25027       0.125000           1790.6000         0.80         3.00
           0.12567       0.062500           2000.0000         0.80         4.00
           0.11815       0.031250           2000.0000         0.80         5.00
           0.08700       0.015630           2000.0000         0.80         6.00
           0.05693       0.007810           2000.0000         0.80         7.00
           0.03115       0.003900           2000.0000         0.80         8.00
           0.01396       0.001950           2000.0000         0.80         9.00
           0.00322       0.000980           2000.0000         0.80        10.00
           0.00107       0.000490           2000.0000         0.80        11.00
